question,guidance,answer,reporting_unit,confidence_score,difficulty,ticker,year,type,source_pdf,chunk_id
Did BBRI use the same audit signing partner for both the current year (2021) and the prior year (2020)?,1. Locate the 'Nama partner audit tahun berjalan' (Name of current year audit signing partner) for BBRI in 2021. 2. Locate the 'Nama partner audit tahun sebelumnya' (Name of prior year audit signing partner) for BBRI in 2020. 3. Compare these two names to determine if they are identical.,"Yes, BBRI used the same audit signing partner, Cristophorus Alvin Kossim, for both the current year (2021) and the prior year (2020).",Full Amount,0.96,comparative_trend,BBRI,2021,math,BBRI_2021_FinancialStatement_marker,BBRI_2021_FinancialStatement_marker_chk0006
What was the value of 'Giro pada bank indonesia' for BBRI in 2021?,Locate the row labeled 'Giro pada bank indonesia' and find the corresponding value in the column for '31 December 2021'.,"56,426,573",Full Amount,0.99,direct_retrieval,BBRI,2021,math,BBRI_2021_FinancialStatement_marker,BBRI_2021_FinancialStatement_marker_chk0011
"Calculate the total 'Tagihan akseptasi' (Acceptance receivables) for BBRI in 2021, considering both third parties and related parties.",1. Locate the value for 'Tagihan akseptasi pihak ketiga' in the '31 December 2021' column. 2. Locate the value for 'Tagihan akseptasi pihak berelasi' in the '31 December 2021' column. 3. Add these two values together to get the total 'Tagihan akseptasi'.,"9,554,238",Full Amount,0.98,arithmetic_reasoning,BBRI,2021,math,BBRI_2021_FinancialStatement_marker,BBRI_2021_FinancialStatement_marker_chk0011
Did 'Efek yang dibeli dengan janji dijual kembali' (Securities purchased under agreement to resale) for BBRI increase or decrease from 2020 to 2021?,1. Find the value for 'Efek yang dibeli dengan janji dijual kembali' in the '31 December 2020' column. 2. Find the value for 'Efek yang dibeli dengan janji dijual kembali' in the '31 December 2021' column. 3. Compare the 2021 value with the 2020 value to determine the trend.,"'Efek yang dibeli dengan janji dijual kembali' for BBRI increased from 46,818,568 in 2020 to 54,915,498 in 2021.",Full Amount,0.97,comparative_trend,BBRI,2021,math,BBRI_2021_FinancialStatement_marker,BBRI_2021_FinancialStatement_marker_chk0011
What was the value of BBRI's Aset pajak tangguhan (Deferred tax assets) in 2021?,"Locate the row labeled ""Aset pajak tangguhan"" and identify the numerical value presented in the column corresponding to the year 2021.","16,284,898 Full Amount",Full Amount,0.98,direct_retrieval,BBRI,2021,math,BBRI_2021_FinancialStatement_marker,BBRI_2021_FinancialStatement_marker_chk0012
"Calculate the net deferred tax assets for BBRI in 2021, considering the Aset pajak tangguhan and Cadangan kerugian.","First, identify the value for ""Aset pajak tangguhan"" in 2021, which is 16,284,898. Next, identify the value for ""Cadangan kerugian"" (Allowance for impairment) in 2021, which is (488,233). Subtract the Cadangan kerugian from the Aset pajak tangguhan to find the net amount: 16,284,898 - 488,233.","15,796,665 Full Amount",Full Amount,0.97,arithmetic_reasoning,BBRI,2021,math,BBRI_2021_FinancialStatement_marker,BBRI_2021_FinancialStatement_marker_chk0012
Did BBRI's Aset pajak tangguhan (Deferred tax assets) increase or decrease from the previous year (2020) to 2021?,"Locate the value for ""Aset pajak tangguhan"" in 2021, which is 16,284,898. Then, locate the value for ""Aset pajak tangguhan"" for the previous year (2020), which is 9,885,990. Compare these two values to determine if there was an increase or decrease.","BBRI's Aset pajak tangguhan (Deferred tax assets) increased from 9,885,990 Full Amount in 2020 to 16,284,898 Full Amount in 2021.",Full Amount,0.96,comparative_trend,BBRI,2021,math,BBRI_2021_FinancialStatement_marker,BBRI_2021_FinancialStatement_marker_chk0012
What is the slogan associated with BBRI's digitalization efforts in 2021?,"Locate the section titled ""Digitalisasi"" and identify the bolded phrase directly beneath it, which serves as the slogan for the year 2021.","The slogan associated with BBRI's digitalization efforts in 2021 is ""Go Smaller, Go Shorter, Go Faster"".",N/A,0.98,fact_extraction,BBRI,2021,text,BRI-Annual-Report-2021_marker,BBRI_2021_BRI_Annual_Report_2021_marker_chk0000
"How does BBRI characterize its digitalization strategy in 2021, according to the provided context?","Read the main heading ""Digitalisasi"" and the accompanying slogan ""Go Smaller, Go Shorter, Go Faster"". Synthesize these two pieces of information to explain the characterization of the strategy for 2021.","In 2021, BBRI characterizes its digitalization strategy as ""Digitalisasi"" with the guiding principle ""Go Smaller, Go Shorter, Go Faster"". This implies a focus on agile, efficient, and rapid digital transformation.",N/A,0.96,summarization,BBRI,2021,text,BRI-Annual-Report-2021_marker,BBRI_2021_BRI_Annual_Report_2021_marker_chk0000
"Based on the slogan ""Go Smaller, Go Shorter, Go Faster,"" what can be inferred about the core objectives of BBRI's digitalization strategy in 2021?","Analyze each component of the slogan (""Go Smaller,"" ""Go Shorter,"" ""Go Faster""). Infer the underlying objectives or desired outcomes that each phrase suggests in the context of digitalization. Connect these inferences to form a comprehensive understanding of the strategy's core objectives for 2021.","Based on the slogan ""Go Smaller, Go Shorter, Go Faster,"" it can be inferred that the core objectives of BBRI's digitalization strategy in 2021 are to achieve greater agility and efficiency by breaking down processes into smaller, more manageable steps (""Go Smaller""), reducing the time and complexity of operations (""Go Shorter""), and accelerating the pace of digital implementation and service delivery (""Go Faster""). This suggests a focus on streamlined, rapid, and user-friendly digital solutions.",N/A,0.95,logical_inference,BBRI,2021,text,BRI-Annual-Report-2021_marker,BBRI_2021_BRI_Annual_Report_2021_marker_chk0000
"What was BBRI's updated vision in 2021, according to the provided context?","To answer this, locate the sentence in the text that explicitly states the new vision for BBRI.",BBRI's updated vision in 2021 was 'The Most Valuable Banking Group in Southeast Asia.',N/A,0.98,fact_extraction,BBRI,2021,text,BRI-Annual-Report-2021_marker,BBRI_2021_BRI_Annual_Report_2021_marker_chk0001
"How does BBRI describe its 'Go Smaller, Go Shorter, Go Faster' strategy in 2021?","Identify the definitions provided for 'go smaller,' 'go shorter,' and 'go faster' within the text. Synthesize these three descriptions into a comprehensive explanation.","In 2021, BBRI's 'Go Smaller' strategy involves targeting segments smaller than micro, specifically ultra-micro, by distributing credit with a smaller ticket size. 'Go Shorter' means providing short-tenor credit according to needs. 'Go Faster' refers to strengthening the digitalization of its financial services to make services and business processes quicker.",N/A,0.97,summarization,BBRI,2021,text,BRI-Annual-Report-2021_marker,BBRI_2021_BRI_Annual_Report_2021_marker_chk0001
"Based on the 2021 context, what was the primary reason for BBRI's focus on becoming a 'Champion of Financial Inclusion'?",Locate the section that discusses 'Champion of Financial Inclusion' and specifically identify the phrase that explains its purpose or intention ('dimaksudkan guna'). This phrase will reveal the underlying reason.,"In 2021, BBRI's focus on becoming a 'Champion of Financial Inclusion' was intended to ensure the company's sustainable growth ('menjaga pertumbuhan berkesinambungan perseroan') and to seek new sources of growth ('mencari sumber pertumbuhan baru').",N/A,0.96,logical_inference,BBRI,2021,text,BRI-Annual-Report-2021_marker,BBRI_2021_BRI_Annual_Report_2021_marker_chk0001
Berapakah 'Jumlah Aset' untuk PT Mandiri Sekuritas (Mansek) pada tahun 2021 untuk BMRI?,"Untuk menjawab pertanyaan ini, cari baris yang sesuai dengan 'PT Mandiri Sekuritas (Mansek)' dalam tabel. Kemudian, identifikasi nilai yang tertera di kolom 'Jumlah Aset' untuk baris tersebut.",4.317.961 JUTAAN IDR,JUTAAN IDR,0.98,direct_retrieval,BMRI,2021,math,BMRI_2021_FinancialStatement_marker,BMRI_2021_FinancialStatement_marker_chk0002
Hitunglah total gabungan 'Jumlah Aset' untuk PT Bank Syariah Mandiri (BSM) dan PT Mandiri Tunas Finance (MTF) pada tahun 2021 untuk BMRI.,1. Temukan baris untuk 'PT Bank Syariah Mandiri (BSM)' dan catat nilai 'Jumlah Aset'nya. 2. Temukan baris untuk 'PT Mandiri Tunas Finance (MTF)' dan catat nilai 'Jumlah Aset'nya. 3. Jumlahkan kedua nilai 'Jumlah Aset' tersebut untuk mendapatkan total gabungan.,132.975.556 JUTAAN IDR,JUTAAN IDR,0.97,arithmetic_reasoning,BMRI,2021,math,BMRI_2021_FinancialStatement_marker,BMRI_2021_FinancialStatement_marker_chk0002
"Entitas mana, PT AXA Mandiri Financial Services (AMFS) atau PT MANDIRI UTAMA FINANCE, yang memiliki 'Jumlah Aset' lebih tinggi pada tahun 2021 untuk BMRI?",1. Temukan baris untuk 'PT AXA Mandiri Financial Services (AMFS)' dan catat nilai 'Jumlah Aset'nya. 2. Temukan baris untuk 'PT MANDIRI UTAMA FINANCE' dan catat nilai 'Jumlah Aset'nya. 3. Bandingkan kedua nilai tersebut untuk menentukan mana yang lebih tinggi.,PT AXA Mandiri Financial Services (AMFS) memiliki 'Jumlah Aset' yang lebih tinggi (26.996.241 JUTAAN IDR) dibandingkan dengan PT MANDIRI UTAMA FINANCE (5.042.959 JUTAAN IDR) pada tahun 2021.,JUTAAN IDR,0.96,comparative_trend,BMRI,2021,math,BMRI_2021_FinancialStatement_marker,BMRI_2021_FinancialStatement_marker_chk0002
Who was the current year audit signing partner for BMRI in 2021?,"Locate the row labeled ""Nama partner audit tahun berjalan"" (Name of current year audit signing partner) in the provided financial statement segment and extract the corresponding value.",Lucy Luciana Suhenda,Full Amount,0.98,direct_retrieval,BMRI,2021,math,BMRI_2021_FinancialStatement_marker,BMRI_2021_FinancialStatement_marker_chk0006
Calculate the duration in years between the current period end date and the prior period end date for BMRI in 2021.,"1. Identify the ""Tanggal akhir periode berjalan"" (Current period end date), which is December 31, 2021. 2. Identify the ""Tanggal akhir tahun sebelumnya"" (Prior year end date), which is December 31, 2020. 3. Extract the year from each date: 2021 and 2020. 4. Subtract the prior year from the current year: 2021 - 2020.",The duration is 1 year.,Full Amount,0.96,arithmetic_reasoning,BMRI,2021,math,BMRI_2021_FinancialStatement_marker,BMRI_2021_FinancialStatement_marker_chk0006
Did BMRI change its auditor between the prior year (2020) and the current year (2021)?,"1. Locate the ""Auditor tahun berjalan"" (Current year auditor) for 2021. 2. Locate the ""Auditor tahun sebelumnya"" (Prior year auditor) for 2020. 3. Compare the names of the auditors for both periods to determine if a change occurred.","Yes, BMRI changed its auditor. The prior year auditor (2020) was Purwantono, Sungkoro & Surja, while the current year auditor (2021) is Tanuderedja, Wibisana, Rintis & Rekan.",Full Amount,0.97,comparative_trend,BMRI,2021,math,BMRI_2021_FinancialStatement_marker,BMRI_2021_FinancialStatement_marker_chk0006
What was the total assets for BMRI in 2021?,"Locate the row labeled ""Jumlah aset"" (Total assets) and find the corresponding value in the column for ""31 December 2021"".","The total assets for BMRI in 2021 was 1,725,611,128.",Full Amount,0.97,direct_retrieval,BMRI,2021,math,BMRI_2021_FinancialStatement_marker,BMRI_2021_FinancialStatement_marker_chk0011
"Calculate the increase in ""Pinjaman yang diberikan pihak ketiga"" (Loans third parties) for BMRI from 2020 to 2021.","Locate the row ""Pinjaman yang diberikan pihak ketiga"" (Loans third parties). Extract the value for ""31 December 2021"" (839,421,181) and ""31 December 2020"" (753,812,475). Subtract the 2020 value from the 2021 value (839,421,181 - 753,812,475).","The increase in ""Pinjaman yang diberikan pihak ketiga"" (Loans third parties) for BMRI from 2020 to 2021 was 85,608,706.",Full Amount,0.96,arithmetic_reasoning,BMRI,2021,math,BMRI_2021_FinancialStatement_marker,BMRI_2021_FinancialStatement_marker_chk0011
"Did BMRI's ""Jumlah liabilitas"" (Total liabilities) increase or decrease from 2020 to 2021?","Locate the row ""Jumlah liabilitas"" (Total liabilities). Compare the value for ""31 December 2021"" (1,326,592,237) with the value for ""31 December 2020"" (1,186,905,382). Determine if the 2021 value is higher or lower than the 2020 value.","BMRI's ""Jumlah liabilitas"" (Total liabilities) increased from 1,186,905,382 in 2020 to 1,326,592,237 in 2021.",Full Amount,0.95,comparative_trend,BMRI,2021,math,BMRI_2021_FinancialStatement_marker,BMRI_2021_FinancialStatement_marker_chk0011
Berapakah Pendapatan bunga BMRI pada tahun 2021?,"Untuk menemukan Pendapatan bunga BMRI pada tahun 2021, cari baris 'Pendapatan bunga' dan ambil nilai dari kolom angka pertama (yang mewakili tahun 2021).","Pendapatan bunga BMRI pada tahun 2021 adalah 97,749,086.",Full Amount,0.98,direct_retrieval,BMRI,2021,math,BMRI_2021_FinancialStatement_marker,BMRI_2021_FinancialStatement_marker_chk0013
Berapakah laba bersih bunga BMRI pada tahun 2021?,"Untuk menghitung laba bersih bunga BMRI pada tahun 2021, temukan 'Pendapatan bunga' dan 'Beban bunga' untuk tahun 2021. Kurangkan nilai Beban bunga dari Pendapatan bunga. (97,749,086 - 24,686,592).","Laba bersih bunga BMRI pada tahun 2021 adalah 73,062,494.",Full Amount,0.97,arithmetic_reasoning,BMRI,2021,math,BMRI_2021_FinancialStatement_marker,BMRI_2021_FinancialStatement_marker_chk0013
Apakah Pendapatan dari premi asuransi BMRI meningkat atau menurun pada tahun 2021 dibandingkan dengan tahun sebelumnya?,"Untuk menentukan apakah Pendapatan dari premi asuransi BMRI meningkat atau menurun, bandingkan nilai 'Pendapatan dari premi asuransi' pada kolom angka pertama (2021) dengan kolom angka kedua (tahun sebelumnya). Nilai tahun 2021 adalah 14,857,941 dan nilai tahun sebelumnya adalah 12,890,360.",Pendapatan dari premi asuransi BMRI meningkat pada tahun 2021 dibandingkan dengan tahun sebelumnya.,Full Amount,0.96,comparative_trend,BMRI,2021,math,BMRI_2021_FinancialStatement_marker,BMRI_2021_FinancialStatement_marker_chk0013
What is the main theme for BMRI in 2021 according to the provided context?,"To answer this, locate the main title or heading that describes BMRI's focus for the year 2021.","The main theme for BMRI in 2021 is ""Melanjutkan Transformasi Digital & Inovasi Perbankan"".",N/A,0.98,fact_extraction,BMRI,2021,text,Mandiri-Annual-Report-2021_marker,BMRI_2021_Mandiri_Annual_Report_2021_marker_chk0000
How does BMRI describe its strategic direction in 2021 based on the provided context?,"To answer this, synthesize the information from the main heading to explain BMRI's strategic direction for 2021.","In 2021, BMRI's strategic direction is described as ""Melanjutkan Transformasi Digital & Inovasi Perbankan,"" indicating a continued focus on advancing digital transformation and fostering innovation within its banking operations.",N/A,0.97,summarization,BMRI,2021,text,Mandiri-Annual-Report-2021_marker,BMRI_2021_Mandiri_Annual_Report_2021_marker_chk0000
"Based on the title ""Melanjutkan Transformasi Digital & Inovasi Perbankan"" for BMRI in 2021, what can be inferred about the company's prior activities or ongoing commitment?","To answer this, analyze the word ""Melanjutkan"" (Continuing) in the title to infer the nature of BMRI's activities regarding digital transformation and banking innovation prior to or during 2021.","Based on the title ""Melanjutkan Transformasi Digital & Inovasi Perbankan"" for BMRI in 2021, it can be inferred that BMRI had already initiated or been engaged in digital transformation and banking innovation efforts prior to 2021, and the company is committed to continuing and advancing these initiatives.",N/A,0.96,logical_inference,BMRI,2021,text,Mandiri-Annual-Report-2021_marker,BMRI_2021_Mandiri_Annual_Report_2021_marker_chk0000
Apa tema yang diusung oleh BMRI pada Laporan Tahunan 2021?,Cari kalimat yang secara eksplisit menyebutkan tema Laporan Tahunan BMRI untuk tahun 2021.,"Pada Laporan Tahunan 2021, BMRI mengusung tema ""Melanjutkan Transformasi Digital dan Inovasi Perbankan"".",N/A,0.98,fact_extraction,BMRI,2021,text,Mandiri-Annual-Report-2021_marker,BMRI_2021_Mandiri_Annual_Report_2021_marker_chk0001
Bagaimana BMRI menjelaskan perannya dalam menghadapi pergeseran perilaku masyarakat yang semakin 'digital minded' pada tahun 2021?,Temukan bagian teks yang membahas pergeseran perilaku masyarakat dan respons BMRI terhadapnya. Sintesiskan informasi tersebut untuk menjelaskan komitmen dan tindakan BMRI.,"Pada tahun 2021, BMRI menjelaskan bahwa pergeseran perilaku masyarakat yang semakin 'digital minded' menuntut layanan keuangan yang serba cepat, efisien, aman, dan mudah diakses. Oleh karena itu, BMRI berkomitmen penuh melakukan transformasi digital dan berinovasi untuk mampu bersaing serta dapat menjawab kebutuhan nasabah, meyakini bahwa digitalisasi telah menjadi salah satu kebutuhan mendasar masyarakat.",N/A,0.97,summarization,BMRI,2021,text,Mandiri-Annual-Report-2021_marker,BMRI_2021_Mandiri_Annual_Report_2021_marker_chk0001
